aircraft_id,registration_num,model,manufacture_date,ready_for_dep
1,ABC123,Boeing 737,2005-03-15,True
2,XYZ789,Airbus A320,2010-07-20,True
3,DEF456,Boeing 747,2008-11-10,True
4,GHI789,Airbus A380,2015-05-30,False
5,JKL321,Embraer E190,2012-09-05,True
6,MNO456,Boeing 777,2016-12-25,False
7,PQR987,Airbus A330,2013-04-18,True
8,STU654,Embraer E175,2014-08-09,True
9,VWX123,Bombardier CRJ900,2009-06-14,True
10,YZA789,Boeing 787,2011-10-08,False
11,BBB111,Airbus A350,2017-03-01,True
12,CCC222,Embraer E195,2014-11-20,True
13,DDD333,Boeing 767,2010-04-12,True
14,EEE444,Airbus A319,2013-07-03,True
15,FFF555,Embraer E170,2016-01-28,True
16,GGG666,Airbus A321,2012-08-15,False
17,HHH777,Boeing 757,2007-12-05,True
18,III888,Airbus A340,2009-09-30,True
19,JJJ999,Embraer E175,2015-06-18,True
20,KKK000,Bombardier CRJ700,2008-02-19,True
21,LLL111,Boeing 737,2011-05-10,True
22,MMM222,Airbus A320,2014-10-28,True
23,NNN333,Boeing 747,2012-03-07,False
24,OOO444,Airbus A380,2017-08-14,True
25,PPP555,Embraer E190,2013-06-24,True
26,QQQ666,Boeing 777,2016-09-16,False
27,RRR777,Airbus A330,2014-01-21,True
28,SSS888,Embraer E175,2010-07-04,True
29,TTT999,Bombardier CRJ900,2012-11-30,True
30,UUU000,Boeing 787,2013-04-02,True